episode,reward, average reward, 100-episode running mean reward
571,144.097,-40.204,71.9584
572,66.2291,-40.0179,72.3786
573,165.0119,-39.6601,73.8193
574,5.4127,-39.5815,74.0326
575,172.8105,-39.2122,75.8122
576,126.4268,-38.9246,77.1429
577,136.7277,-38.6202,78.3273
578,124.676,-38.3377,78.8704
579,172.5727,-37.9734,80.4195
580,142.2004,-37.6627,81.1146
581,136.0334,-37.3638,81.5658
582,124.7261,-37.0853,82.6354
583,115.5853,-36.8234,82.017
584,164.4181,-36.4788,83.273
585,117.7346,-36.2152,84.3909
586,-10.7322,-36.1717,84.3955
587,154.1817,-35.8474,86.1193
588,170.5009,-35.4965,87.4837
589,53.1165,-35.3461,86.9045
590,183.3899,-34.9753,87.1336
591,-0.7089,-34.9173,86.6133
592,192.034,-34.534,87.8293
593,48.5726,-34.3938,88.5163
594,157.6098,-34.0706,89.4681
595,182.4585,-33.7067,91.1864
596,128.1588,-33.4351,92.8816
597,121.5256,-33.1755,92.8461
598,60.2792,-33.0192,93.3745
599,117.5891,-32.7678,93.8635
600,129.9518,-32.4966,94.9351
601,175.6701,-32.1502,95.3327
602,184.0115,-31.7912,96.463
603,127.4478,-31.5271,96.9555
604,24.8081,-31.4338,96.4544
605,125.5929,-31.1743,97.0422
606,147.5518,-30.8793,97.2501
607,155.8471,-30.5717,97.8705
608,-44.7061,-30.595,97.7394
609,111.0987,-30.3623,98.126
610,126.1615,-30.1057,98.4872
611,130.0687,-29.8436,99.4067
612,156.1936,-29.5396,99.7293
613,143.545,-29.2572,100.5032
614,138.3841,-28.9842,100.9902
615,133.8339,-28.7194,100.5977
616,-37.5892,-28.7338,99.1032
617,116.8899,-28.4978,100.9074
618,-48.5858,-28.5303,99.1647
619,67.8875,-28.3746,99.0017
620,122.5852,-28.1311,99.9459
621,20.4688,-28.0528,99.1078
622,35.9905,-27.9499,98.988
623,161.3141,-27.6461,100.0546
624,139.3618,-27.3784,101.9796
625,128.1951,-27.1295,102.7993
626,48.3344,-27.009,103.1311
627,180.8585,-26.6774,104.4365
628,152.7427,-26.3917,105.1368
629,120.5175,-26.1582,105.0825
630,192.5015,-25.8111,106.1606
631,49.1155,-25.6923,106.6386
632,184.4674,-25.3598,108.6882
633,159.2723,-25.0681,109.4674
634,119.5373,-24.8401,109.9449
635,116.8937,-24.6169,111.7823
636,7.6987,-24.566,110.3311
637,168.9345,-24.2623,111.601
