episode,reward, average reward, 100-episode running mean reward
457,17.069,-70.9008,39.4146
458,125.1804,-70.4727,40.8957
459,-59.4879,-70.4488,40.4121
460,-12.6897,-70.3232,40.0884
461,-21.7667,-70.2179,38.5722
462,156.888,-69.7263,39.7176
463,4.6307,-69.5657,39.1743
464,-8.8798,-69.4349,38.7914
465,57.8306,-69.1612,39.4536
466,123.6681,-68.7474,40.8382
467,47.387,-68.4988,40.1262
468,-90.2919,-68.5453,39.4933
469,8.1444,-68.3818,37.9615
470,58.1579,-68.1126,38.9087
471,62.7191,-67.8348,38.1967
472,-84.4007,-67.8699,37.1861
473,160.5976,-67.3869,39.6691
474,-40.8578,-67.3309,38.8616
475,75.9659,-67.0292,39.3657
476,116.7948,-66.6431,39.3839
477,-16.2903,-66.5375,38.8823
478,50.6458,-66.2923,39.6414
479,94.6666,-65.9563,39.295
480,61.7071,-65.6903,38.3632
481,127.445,-65.2888,39.7104
482,98.0295,-64.95,41.4077
483,27.4951,-64.7586,41.7299
484,-89.8181,-64.8104,39.6374
485,-30.585,-64.7398,38.9604
486,174.5376,-64.2474,39.6696
487,-40.0798,-64.1978,37.4546
488,147.9325,-63.7631,37.5288
489,-194.7483,-64.031,34.6562
490,129.2348,-63.6366,35.1822
491,52.9527,-63.3991,34.7211
492,105.3289,-63.0562,35.215
493,55.1125,-62.8165,36.2783
494,92.746,-62.5016,36.8761
495,21.0477,-62.3328,35.9611
496,58.8288,-62.0885,35.5142
497,86.9471,-61.7886,35.9407
498,28.8955,-61.6066,35.8853
499,25.8668,-61.4313,36.5603
500,156.7925,-60.9948,38.9829
501,115.5805,-60.6424,38.5456
502,159.5684,-60.2037,40.7123
503,140.6857,-59.8043,41.8118
504,134.8376,-59.4181,44.2121
505,91.8582,-59.1186,44.4909
506,32.0165,-58.9385,43.9165
507,4.0527,-58.8142,43.6171
508,52.7748,-58.5945,43.8222
509,-42.9673,-58.5638,43.3847
510,57.2571,-58.3367,43.4617
511,148.2364,-57.9325,44.8309
512,-24.9952,-57.8682,43.1909
513,173.6809,-57.4168,44.7044
514,137.2835,-57.038,45.3607
515,183.3074,-56.5713,45.9419
516,85.7862,-56.2954,45.5219
517,-20.7399,-56.2267,45.8894
518,106.7901,-55.9119,47.9726
519,185.571,-55.4467,49.813
520,133.4377,-55.0834,51.2139
521,129.9722,-54.7282,51.2762
522,88.9756,-54.4529,51.7282
523,167.6262,-54.0283,52.6928
524,130.5891,-53.676,53.5379
525,55.9894,-53.4671,52.5962
526,117.4721,-53.1421,54.9191
527,143.115,-52.7697,55.4427
528,18.8777,-52.634,55.4276
529,101.8918,-52.3419,56.7978
530,137.8001,-51.9832,58.3834
531,72.84,-51.7481,59.5916
532,118.2025,-51.4286,59.5486
533,-34.7282,-51.3973,58.614
534,146.352,-51.027,61.6482
535,5.9255,-50.9205,60.4086
536,74.0621,-50.6873,59.8039
537,86.0517,-50.4327,60.4702
538,10.1693,-50.3201,60.0188
539,121.6813,-50.001,61.5901
540,140.2395,-49.6487,63.1942
541,198.0348,-49.1908,65.231
542,66.3775,-48.9776,64.9988
543,57.7949,-48.781,65.6314
544,71.8057,-48.5593,66.9731
545,114.9989,-48.2592,65.97
546,128.8758,-47.9348,66.1412
547,35.1738,-47.7828,65.1641
548,49.0624,-47.6061,65.0294
549,134.1803,-47.275,64.7532
550,172.6654,-46.8751,66.6162
551,-5.5746,-46.8001,66.2338
552,147.6451,-46.4479,67.2401
553,48.3079,-46.2765,66.6707
554,72.0541,-46.0629,67.5936
555,97.7038,-45.8039,69.0054
556,50.5903,-45.6305,70.4817
557,72.6257,-45.4182,71.0373
558,256.5279,-44.8771,72.3508
559,158.7487,-44.5128,74.5331
560,-30.805,-44.4884,74.352
561,128.1201,-44.1807,75.8509
562,32.3946,-44.0444,74.6059
563,-46.668,-44.0491,74.0929
564,93.1979,-43.8057,75.1137
565,107.166,-43.5385,75.6071
566,107.2736,-43.2721,75.4431
567,-14.2627,-43.2209,74.8266
568,109.7903,-42.9515,76.8274
569,121.7639,-42.662,77.9636
570,113.6564,-42.3878,78.5186
571,78.7072,-42.1757,78.6785
572,112.1531,-41.9059,80.644
573,123.6573,-41.617,80.2746
574,135.8791,-41.3078,82.042
575,-21.8872,-41.274,81.0635
576,141.9622,-40.9559,81.3152
577,33.3692,-40.8271,81.8118
578,156.1229,-40.4863,82.8665
579,9.8915,-40.3993,82.0188
580,139.5419,-40.0891,82.7971
581,26.2174,-39.9749,81.7848
582,135.2269,-39.6739,82.1568
583,5.922,-39.5957,81.9411
584,41.8778,-39.4562,83.258
585,-130.7152,-39.6122,82.2567
586,149.0896,-39.2902,82.0023
587,120.2225,-39.0184,83.6053
588,190.9357,-38.6273,84.0353
589,152.5118,-38.3028,87.5079
590,158.276,-37.9696,87.7983
591,125.8543,-37.6924,88.5274
592,12.6452,-37.6074,87.6005
593,119.4593,-37.3425,88.244
